Date,RBI_Repo,CPI,Inflation,Urban CPI,Urban Inflation,Total_Sales,Brent_Oil,Steel,Aluminium,USD_INR,NIFTY AUTO,NIFTY 50,FII,DII,Google Trends,TAMO
2018-11-01,1.0,0.07284768211920545,0.061855670103092786,0.08375209380234505,0.0461538461538461,0.9999999999999999,-0.4116088670803663,-0.6255903075204621,-0.6234327044462169,-1.0720343565343295,-0.5292720705252661,-1.0108988301159967,0.4082257211450882,1.186561509901926,-0.7368421052631579,171.42
2018-12-01,1.0,0.0612582781456954,0.024054982817869386,0.06700167504187604,0.0,0.8015851725399341,-0.7987982918426054,-0.6379935685641676,-0.6681286017832111,-1.0867007168245215,-0.537145982449254,-1.0143171465547007,0.09986796333124362,1.413790861040326,-0.8421052631578947,172.17
2019-01-01,1.0,0.05298013245033095,0.0,0.06700167504187604,0.0,0.7482955040326092,-0.691391211901795,-0.7124131348264023,-0.8324655304364956,-0.8318727067824295,-0.7682844965469151,-1.0219241042633649,-0.2732819843440441,1.0206537766452168,-0.8421052631578947,180.64
2019-02-01,0.8999999999999999,0.0579470198675498,0.1030927835051546,0.07705192629815727,0.11428571428571421,0.7484035047990663,-0.4529998881307274,-0.7771857202768662,-0.8096121951737303,-0.8538722472177189,-0.7372092453028949,-1.0311800385639394,0.06284995684624568,0.36053142982449504,-0.5789473684210527,176.9
2019-03-01,0.8999999999999999,0.0662251655629138,0.15292096219931267,0.09212730318257956,0.2615384615384614,0.7514379779469402,-0.3387816275107435,-0.7372196569138141,-0.7893474253938022,-1.1563659282029344,-0.7417086235451733,-0.8310400183429366,1.131487667574131,1.3873252323304122,-0.8947368421052632,173.71
2019-04-01,0.8000000000000003,0.0794701986754962,0.17525773195876293,0.11055276381909529,0.3054945054945054,0.7654258191509746,-0.07209770707234049,-0.8006141022483103,-0.8529275242532112,-1.07276767454884,-0.7382431933333173,-0.8011297495042794,0.3770168255671232,0.7115019622373286,-0.5789473684210527,213.64
2019-05-01,0.8000000000000003,0.0927152317880795,0.18556701030927836,0.12562814070351758,0.3516483516483515,0.7886773390004703,-0.06738227429445182,-0.8584959871189372,-1.0111012017568826,-1.0848674217882492,-0.7780331494051853,-0.7590868645733219,-0.0076332521347603904,0.6261979477795336,-0.631578947368421,172.07
2019-06-01,0.7000000000000002,0.10761589403973515,0.20790378006872856,0.1356783919597988,0.312087912087912,0.6913791001097427,-0.4393775267723808,-0.9591002155845509,-1.0734979563955658,-1.200365009073513,-0.8342640153673996,-0.791332180556727,0.34795117030217665,0.8071018624241003,-0.9473684210526315,162.05
2019-07-01,0.7000000000000002,0.129139072847682,0.20274914089347074,0.15577889447236215,0.2879120879120878,0.682345358579964,-0.4550956360320115,-1.0362760620787204,-0.9723220255235168,-1.215031369363705,-1.0788665779930915,-0.9528235596344994,-0.39176322345353154,1.5186582682404894,-0.7894736842105263,135.18
2019-08-01,0.56,0.14238410596026485,0.22508591065292094,0.17085427135678355,0.34725274725274724,0.7118469873012002,-0.7107768799886729,-1.0238728010350144,-1.1111430944174028,-0.7400246254651018,-1.0430419830488882,-0.9756323964350045,-0.18407997075343818,1.4306381241162371,-0.7368421052631579,116.34
