Date,Price,Open,High,Low,Vol
30-09-2021,333.35,331.25,337.9,329.1,30.27
01-10-2021,333.3,332.65,337.3,325.7,29.88
04-10-2021,342,336.8,343.25,335.15,29.55
05-10-2021,344.95,340.45,351.5,338.85,31.86
06-10-2021,336.05,347,348.7,335,25.27
07-10-2021,376.5,341.1,383,339.25,163.24
08-10-2021,382.95,385.9,397.55,380,93.73
11-10-2021,415.75,390.15,420.9,388,113.41
12-10-2021,420.85,423,435.7,413.6,97.35
13-10-2021,506.9,462.9,523.85,462.9,197.95
14-10-2021,497.6,530,530,492,103.63
18-10-2021,509.6,507,525,503.6,72.32
19-10-2021,481.9,512.45,517.4,476.05,57.43
20-10-2021,486.9,481.8,497,471.25,55.44
21-10-2021,508,491.75,510.4,485.75,52.61
22-10-2021,490.9,509.9,510.7,487.4,42.74
25-10-2021,479.9,493.9,496,473.25,33.11
26-10-2021,508.65,483.5,510,483.25,58.03
27-10-2021,497.9,505.75,506.55,496,30.36
28-10-2021,481.05,493.9,493.9,478.55,25.18
29-10-2021,483.7,482,491.6,467.7,31.05
01-11-2021,485.7,486.45,489.7,469.8,34.32
02-11-2021,487.85,506.5,510,486.5,51.58
03-11-2021,484.9,483.8,495,481.6,22.95
04-11-2021,489.7,489.8,493.55,488,5.53
08-11-2021,501.4,493.9,504.85,490.25,31.74
09-11-2021,509.65,505,520.65,503.5,50.46
10-11-2021,510.75,506.25,515.95,500.2,26.62
11-11-2021,503.45,510,519,501,29.26
12-11-2021,507.05,506.95,509.55,497.35,20.73
15-11-2021,505.45,506.25,514.9,504.5,18.02
16-11-2021,519.05,506.9,526.85,506.2,55.9
17-11-2021,530.15,520.25,536.7,520.25,48.46
18-11-2021,509.7,531.45,534.2,501.3,47.2
22-11-2021,486.1,512.25,512.25,478.4,40.04
23-11-2021,495.5,484.4,499.35,477,27.55
24-11-2021,488.65,499,501.8,485.3,20.92
25-11-2021,492.75,490.8,495.15,486.5,15.34
26-11-2021,460.2,486,486.75,458,51.79
29-11-2021,461.45,457,470.75,443.1,42.82
30-11-2021,458.6,466.55,478,455.65,35.47
01-12-2021,475.25,467.85,478.4,463.55,28.26
02-12-2021,479.1,479.4,480.45,471.7,21.01
03-12-2021,480.1,480,484.7,477.3,20.95
06-12-2021,467.2,480.1,480.9,466,17.47
07-12-2021,481.8,476.85,484.9,471,21.28
08-12-2021,493.9,484.5,495.95,483.5,20.58
09-12-2021,493.95,498,498.5,489.55,16.95
10-12-2021,494.45,487.75,496.8,486.55,14.57
13-12-2021,495.35,499.45,506.4,494.2,21.92
14-12-2021,489.4,491.95,491.95,483.3,17.72
15-12-2021,491.65,487.8,497.7,487.25,16.26
16-12-2021,491.95,495,496.5,487.4,13.58
17-12-2021,470.2,488,488.85,468.2,27.34
20-12-2021,447.05,459.9,460,440,33.01
21-12-2021,453.6,452.1,460.9,449.85,18.84
22-12-2021,470.5,458.15,472.15,458.15,22.73
23-12-2021,472.35,476,478,470.95,12.12
24-12-2021,467.6,474.9,474.9,460,15.49
27-12-2021,471.15,465.7,472.45,460.1,12.56
28-12-2021,480.2,475.2,482.8,472.65,22.86
29-12-2021,476,478.75,481.6,474.25,10.26
30-12-2021,470.4,472.55,476.4,468.6,11.92
31-12-2021,482.4,472.7,483.6,471.85,15.54
03-01-2022,497.6,493.5,500.85,492,32.75
04-01-2022,489.6,496.8,499,484.05,24.1
05-01-2022,489.75,486.95,492.75,483.55,15.42
06-01-2022,488.85,481.5,492.95,477.1,16.56
07-01-2022,490.6,490.05,495.5,483.75,15.53
10-01-2022,503.7,493.1,504.9,491.3,25.19
11-01-2022,501.3,503,507.9,498.15,16.27
12-01-2022,507.25,505.85,511.85,503.5,16.26
13-01-2022,511.95,504,513.8,494.8,27.57
14-01-2022,509.9,509,515.4,505.65,12.66
17-01-2022,525,514.8,526.9,512,27.94
18-01-2022,510.8,527.9,528.5,507.15,19.35
19-01-2022,520.85,510,522.2,504.8,21.8
20-01-2022,515.7,519.95,523.2,512,18.36
21-01-2022,501.85,510.4,513.85,494.25,17.95
24-01-2022,478.45,499.7,504.3,473.35,25.23
25-01-2022,490.55,473.8,492.5,467.65,22.57
27-01-2022,494.4,480.75,502.7,476.6,26.68
28-01-2022,497.3,500.5,509.35,495.3,21.78
31-01-2022,517.75,505,520,498.2,27.31
01-02-2022,504.3,508,514.75,493,48.03
02-02-2022,506.4,508.6,514.45,505.15,14.31
03-02-2022,504.5,509.1,514.3,502.85,15.25
04-02-2022,500.6,503.8,507.8,499,12.66
07-02-2022,494.6,502.9,504.35,492.5,13.39
08-02-2022,492.75,498,498.5,479.15,23.38
09-02-2022,501.25,496.5,503.7,494.7,12.43
10-02-2022,507.45,506.7,510.5,504.2,14.54
11-02-2022,498.85,503.25,507,497,13.53
14-02-2022,471.45,487,488.5,468.8,22.16
15-02-2022,504,476.15,505.5,467.3,30.62
16-02-2022,498.45,504,507.9,496.6,20.18
17-02-2022,499.95,505.9,511.5,498.3,27.94
18-02-2022,493.15,498,502.65,491.5,15.48
21-02-2022,494.45,490.15,500.4,486.1,22.59
22-02-2022,478.25,480.55,486.3,471.45,27.96
23-02-2022,477,481.75,485.4,475.3,17.7
24-02-2022,427.95,455.95,461.55,405.45,57.27
25-02-2022,459.75,444.85,465.7,441.6,48.88
28-02-2022,454.05,445,457.35,440.45,34.48
02-03-2022,447.6,452.95,454.25,444.55,25.79
03-03-2022,437.1,458.5,458.5,435,29.6
04-03-2022,417.25,431.85,431.85,414.75,38.77
07-03-2022,394,401.75,401.75,387.5,44.84
08-03-2022,391.75,390.5,395.45,376.35,55.54
09-03-2022,405.9,394.95,409.25,389.5,48.38
10-03-2022,419.6,427,434.95,414,59.78
11-03-2022,418.15,413.6,421.15,407.4,51.51
14-03-2022,411.7,418.75,419,404,40.72
15-03-2022,413.65,409.85,424.2,408,47.71
16-03-2022,424.9,427.05,428.55,420.7,27.19
17-03-2022,433.8,432,435.7,429.55,26.7
21-03-2022,427.95,435.5,436.3,427.1,18.27
22-03-2022,440.35,428.1,441.45,421.2,30.44
23-03-2022,435.8,443.5,447,434.6,25.47
24-03-2022,433.2,430,435.4,427.55,17.11
25-03-2022,432.1,437,437,427.65,15.1
28-03-2022,432.7,432,434.95,426.5,16.76
29-03-2022,433.7,436,439.35,431.4,18.71
30-03-2022,435.65,438.45,442.5,434.25,18.15
31-03-2022,433.75,436,438.3,432.6,14.25
01-04-2022,441.15,434,442.25,430.85,19.38
04-04-2022,446.75,444.4,449.5,441.3,18.66
05-04-2022,458.05,450,461.9,448.3,28.53
06-04-2022,456.15,455.9,462.7,452.6,24.97
07-04-2022,449.5,456.5,459.1,448.5,19.95
08-04-2022,452.05,450,456.25,449.7,16.32
11-04-2022,452.05,457,458.9,451,14.34
12-04-2022,438.3,450.8,450.8,435,22.7
13-04-2022,431.05,441.8,442.85,430.1,16.82
18-04-2022,433.8,430,436.35,423.65,15.3
19-04-2022,424.95,436.75,440.25,417,12.67
20-04-2022,440.55,431,441.7,428.25,19.64
21-04-2022,448.05,444.5,449.35,441.05,14.12
22-04-2022,438.85,442.05,447.25,438,14.36
25-04-2022,425.15,432.75,436,423.15,14.73
26-04-2022,434.9,433.9,437.45,431.6,13.58
27-04-2022,430.25,429.25,432.95,425.1,13.7
28-04-2022,436.05,434.8,439.2,430.8,13.88
29-04-2022,437.6,440.2,447.75,436,21.99
02-05-2022,432.85,437.95,442.95,428.5,18.95
04-05-2022,423.5,437.95,440.6,420.7,14.93
05-05-2022,426.3,429,434,423.7,12.24
06-05-2022,408.55,418.85,420.2,407,25.14
09-05-2022,403.95,407.15,407.4,395,18.08
10-05-2022,391.75,400,408.5,389.6,16.54
11-05-2022,388.15,396,397,377.55,29.22
12-05-2022,372.3,382,384.65,366.2,33.51
13-05-2022,404.3,387,419.35,387,71.43
16-05-2022,405.35,411.9,411.9,396.25,24.94
17-05-2022,424.15,408.4,425.65,405,24.65
18-05-2022,415.15,424,427.35,414.05,20.49
19-05-2022,398.65,400,406.8,396.2,17.71
20-05-2022,418,410,421.4,410,23.5
23-05-2022,421.45,421.65,431.15,419.55,16.35
24-05-2022,425.75,423.9,427.5,416,14.53
25-05-2022,417,428.45,429,413.45,13.54
26-05-2022,420.65,422,422.65,405,17.71
27-05-2022,429.6,426.05,433.25,425.2,16.87
30-05-2022,442.4,437,445.2,436,18.5
31-05-2022,443.55,443.95,449.5,440.4,22.31
01-06-2022,444.6,445.1,446,439.6,11.93
02-06-2022,439.15,445,445.6,435.65,12.74
03-06-2022,431.9,444.9,445.05,430.5,12.78
06-06-2022,432.35,427.9,433.95,424.6,11.9
07-06-2022,435.85,432.5,438.2,429.1,11.15
08-06-2022,435.65,438.7,440.4,432,12.84
09-06-2022,428.5,431.9,435.65,426.1,13.04
10-06-2022,428.05,423,428.85,422,11.91
13-06-2022,406.7,414.9,418.15,405.6,17.44
14-06-2022,405.15,403,411.85,397.7,19.63
15-06-2022,414.1,410,416.4,407.45,15.19
16-06-2022,392.95,420,420.9,390.1,22.26
17-06-2022,388.95,387.95,394.45,382.65,24.82
20-06-2022,382.7,390.55,392.95,376.65,17.05
21-06-2022,397.6,389,399,387,14.74
22-06-2022,393.1,396.4,397,390.5,12.43
23-06-2022,407.2,396.3,409.9,394.55,26.51
24-06-2022,409.3,410,412.85,406.15,14.81
27-06-2022,414.5,417.55,419.45,412.35,12.02
28-06-2022,417.1,411.3,418.2,409.15,13.24
29-06-2022,416.95,412.05,419.9,411.55,13.1
30-06-2022,411.8,418.3,424,410,20.12
01-07-2022,411.43,409.39,413.33,401.06,14.73
04-07-2022,407.19,410.28,413.62,403.75,11.53
05-07-2022,410.73,413.72,417.51,408.94,16.77
06-07-2022,415.07,412.73,416.02,409.39,12.2
07-07-2022,429.52,418.61,431.62,418.01,17.62
08-07-2022,440.19,434.91,442.48,427.98,23.73
11-07-2022,435.71,436.7,439.84,432.12,12.62
12-07-2022,429.23,431.67,433.66,426.83,9.52
13-07-2022,425.79,431.37,434.51,424.34,10.18
14-07-2022,426.73,426.68,429.92,422,10.74
15-07-2022,438.85,429.33,440.39,428.38,15.77
18-07-2022,449.51,442.58,452.4,441.84,21.19
19-07-2022,447.67,445.38,450.46,443.08,11.55
20-07-2022,452.05,452.95,459.33,450.36,17.15
21-07-2022,453.45,451.56,454.1,448.71,10.93
22-07-2022,453.5,455.2,458.54,450.91,10.34
25-07-2022,448.17,454.6,456.19,444.93,12.51
26-07-2022,439.79,447.32,447.32,438.4,11.56
27-07-2022,442.68,439.79,443.63,434.76,10.08
28-07-2022,440.89,438.9,447.87,426.08,36.38
29-07-2022,448.22,443.78,451.31,443.78,16
01-08-2022,477.73,450.56,479.52,449.66,43.08
02-08-2022,474.79,477.43,478.42,467.81,19.07
03-08-2022,466.36,473.54,474.79,458.19,19.13
04-08-2022,467.46,471.7,472.49,455.05,18.54
05-08-2022,463.82,467.46,471.45,462.57,11.92
08-08-2022,466.81,464.57,470.45,463.02,10.56
10-08-2022,474.09,468.55,475.73,461.92,13.36
11-08-2022,475.18,481.07,483.51,474.14,12.78
12-08-2022,476.08,474.29,479.97,468.55,13.48
16-08-2022,488.34,478.13,489.89,476.73,16.8
17-08-2022,483.91,489.39,492.88,482.71,15.95
18-08-2022,483.31,482.51,485.3,477.78,12.07
19-08-2022,469.55,485.25,486.6,466.66,16.64
22-08-2022,453.2,467.06,467.51,451.16,15.05
